,seed,sampSize,dim,knn,title,data,FP,RAVK1,RAVK2,Proposed,trueInfo
5,14.0,600.0,1.0,7.0,income data,income,1.9737453015517743,-0.17559940773407687,0.009780859538882187,0.06410447633352374,
6,14.0,700.0,1.0,7.0,income data,income,2.076710507605172,-0.11352893733600644,0.005304610133849759,0.05527094361517472,
7,14.0,800.0,1.0,7.0,income data,income,2.089821581006237,-0.0969572813220417,0.01661408597377969,0.061572954776575005,
8,14.0,900.0,1.0,7.0,income data,income,2.133805757532503,-0.07767580777568957,0.01765169795506694,0.05803726766270814,
9,14.0,1000.0,1.0,7.0,income data,income,2.20086295556852,-0.05855555543408502,0.018095532013572096,0.054816748588509524,
0,15.0,100.0,1.0,7.0,income data,income,0.560485897765552,-0.3735883836316139,-0.023698736173619377,0.11014454123306702,
1,15.0,200.0,1.0,7.0,income data,income,1.2244297704669769,-0.3177567249651352,-0.004865665977562248,0.09676827739194845,
2,15.0,300.0,1.0,7.0,income data,income,1.4154584648326958,-0.39591161995609414,-0.047974372491124066,0.0307390648073912,
3,15.0,400.0,1.0,7.0,income data,income,1.8448857750518,-0.24580412756846315,-0.03717534440773756,0.034844867851211235,
4,15.0,500.0,1.0,7.0,income data,income,1.9207831169440124,-0.22215224892835755,-0.03679477259671189,0.023516229387871394,
5,15.0,600.0,1.0,7.0,income data,income,2.056796698633805,-0.19359466033818276,-0.03272801361077537,0.02075391789749216,
6,15.0,700.0,1.0,7.0,income data,income,2.0689701796081943,-0.15970080171580323,-0.021622333248386538,0.02677203443778669,
7,15.0,800.0,1.0,7.0,income data,income,2.0755558161350023,-0.09783250656021489,-0.010687271974770601,0.03439613751698327,
8,15.0,900.0,1.0,7.0,income data,income,2.143269325389169,-0.08022641713843752,-0.007463670220614101,0.033281896297062144,
9,15.0,1000.0,1.0,7.0,income data,income,2.240620829492351,-0.06668754035947572,-0.004716276678188659,0.03238945951495994,
0,16.0,100.0,1.0,7.0,income data,income,0.5583500395303156,-0.39150721286586093,-0.07648649542941745,0.05052161324837156,
1,16.0,200.0,1.0,7.0,income data,income,0.8560707392906985,-0.6029501866467567,-0.028426670050627375,0.059171085386798425,
2,16.0,300.0,1.0,7.0,income data,income,1.4913478378222476,-0.29471826123033557,-0.027268155220675064,0.056474375948092084,
3,16.0,400.0,1.0,7.0,income data,income,1.7402220043349161,-0.24778561748720132,-0.012737943111321766,0.05794058531545834,
4,16.0,500.0,1.0,7.0,income data,income,1.9752403691526372,-0.1728711155134797,0.011265968553858887,0.07769745012727908,
5,16.0,600.0,1.0,7.0,income data,income,2.0875783482542998,-0.143090625154081,0.009553088348004243,0.0659213637611646,
6,16.0,700.0,1.0,7.0,income data,income,2.1079146475686223,-0.07919074321761975,0.012755263176884737,0.06413958398869016,
7,16.0,800.0,1.0,7.0,income data,income,2.110616513216814,-0.06492180093777329,0.03308389145607098,0.07806544409588363,
8,16.0,900.0,1.0,7.0,income data,income,2.1490799448493045,-0.05971773954348097,0.02274063202151925,0.06325762619139766,
9,16.0,1000.0,1.0,7.0,income data,income,2.214602165188452,-0.04781712374910013,0.02678147281359666,0.06379687365321168,
0,17.0,100.0,1.0,7.0,income data,income,0.7764751254900343,-0.7742350744465728,-0.05665207390853046,0.044548419847752714,
1,17.0,200.0,1.0,7.0,income data,income,1.3236310722604017,-0.42135560790004445,-0.08835639160914141,-0.000946878094799266,
2,17.0,300.0,1.0,7.0,income data,income,1.3055815654363587,-0.3524494692533388,-0.06613598548520419,0.010430402897638141,
3,17.0,400.0,1.0,7.0,income data,income,1.6955475947263938,-0.27792902012363,-0.061163343904630046,0.007388500748023479,
4,17.0,500.0,1.0,7.0,income data,income,1.8408636318205007,-0.1769004961208949,-0.039167404892683805,0.022896325631621358,
5,17.0,600.0,1.0,7.0,income data,income,1.9579076744467374,-0.15280372905507675,-0.006984651762597068,0.04833490516530815,
6,17.0,700.0,1.0,7.0,income data,income,2.030958893163588,-0.12066664310004044,-0.01117031782757277,0.03767486975616213,
7,17.0,800.0,1.0,7.0,income data,income,2.116639594097011,-0.1081574406521874,-0.019101733216798696,0.024779376893545913,
8,17.0,900.0,1.0,7.0,income data,income,2.1526160147638134,-0.10289089082733816,-0.01205671066124294,0.027252589246600022,
9,17.0,1000.0,1.0,7.0,income data,income,2.215972084098743,-0.08761737792893286,-0.003784133102299675,0.03265550287622029,
0,18.0,100.0,1.0,7.0,income data,income,0.7582101922669677,-0.2529371695227239,-0.0015166376443289309,0.12721454545453184,
1,18.0,200.0,1.0,7.0,income data,income,1.0932710318276473,-0.4314184253293767,-0.02422577631077533,0.06524302641965787,
2,18.0,300.0,1.0,7.0,income data,income,1.6712072502003397,-0.25937708658269665,0.014818464074611966,0.10473522767331303,
3,18.0,400.0,1.0,7.0,income data,income,1.9070779792877903,-0.2754830676988537,0.0023340378500284944,0.07415226451753228,
4,18.0,500.0,1.0,7.0,income data,income,1.9071884354241042,-0.14686338240233446,0.015438540926622021,0.08104973346602182,
5,18.0,600.0,1.0,7.0,income data,income,2.0176752859589375,-0.12608133214564063,0.006748117463231195,0.06368630349165015,
6,18.0,700.0,1.0,7.0,income data,income,2.0507243770400234,-0.1419604170822174,0.006050753911807522,0.055260533009911586,
7,18.0,800.0,1.0,7.0,income data,income,2.093897465625551,-0.11921843583838726,-0.0005123681158409466,0.04356762088443312,
8,18.0,900.0,1.0,7.0,income data,income,2.1388413932081414,-0.10416646753758274,-0.00831152043553771,0.03180008802620866,
9,18.0,1000.0,1.0,7.0,income data,income,2.1784574877830565,-0.0901191137477574,0.003815036453921482,0.040421477563243775,
0,19.0,100.0,1.0,7.0,income data,income,0.7455368909402438,-0.6036454542548596,-0.09704604161613166,0.016513540993588583,
1,19.0,200.0,1.0,7.0,income data,income,1.0806445704226044,-0.4397964237577158,-0.043886558873476395,0.051708318497877846,
2,19.0,300.0,1.0,7.0,income data,income,1.5582938968116848,-0.3386606914321667,-0.01876146462474575,0.06450802606122154,
3,19.0,400.0,1.0,7.0,income data,income,1.7559897933902437,-0.3507557194246126,-0.02321328986807133,0.042102568606203726,
4,19.0,500.0,1.0,7.0,income data,income,1.87330703017576,-0.15124491477256408,-0.008747991594351705,0.05599541755304577,
5,19.0,600.0,1.0,7.0,income data,income,1.9701426459294251,-0.12117578651269746,0.009347602736460908,0.06499887171099596,
6,19.0,700.0,1.0,7.0,income data,income,2.0206874497849654,-0.11268214581071599,0.013047190300167669,0.06314800723574339,
7,19.0,800.0,1.0,7.0,income data,income,2.1269327526417463,-0.08245724135659818,0.017073830870279874,0.06247994403359879,
8,19.0,900.0,1.0,7.0,income data,income,2.193873250095102,-0.05521990351768908,0.02683486064605234,0.06795693971484366,
9,19.0,1000.0,1.0,7.0,income data,income,2.209848156967257,-0.04430318505433941,0.029804681369080845,0.06707750567410396,
0,20.0,100.0,1.0,7.0,income data,income,0.546143567791787,-0.4714990284988586,-0.06713704122114512,0.05790223084907394,
1,20.0,200.0,1.0,7.0,income data,income,1.207147460172986,-0.4127453629078488,-0.010027258737808263,0.09236352110752492,
2,20.0,300.0,1.0,7.0,income data,income,1.4341283429574558,-0.39593399628254455,-0.01999970677552892,0.06305421805722541,
3,20.0,400.0,1.0,7.0,income data,income,1.837277227255001,-0.228239635410253,-0.051758080502947425,0.02863443150977682,
4,20.0,500.0,1.0,7.0,income data,income,1.9278327159453248,-0.19924065599654842,-0.020929601663956212,0.04484620990009279,
5,20.0,600.0,1.0,7.0,income data,income,2.069390478163675,-0.14117230307629122,-0.020018112569407134,0.03691609635521275,
6,20.0,700.0,1.0,7.0,income data,income,2.123470760617639,-0.0859539064813691,-0.00732288672693653,0.0446817783974247,
7,20.0,800.0,1.0,7.0,income data,income,2.1432565895559765,-0.08199872476832683,-0.0016594566675935418,0.04425571310262878,
8,20.0,900.0,1.0,7.0,income data,income,2.1719140263488703,-0.07818682988294455,0.008930199294972338,0.049908245624295265,
9,20.0,1000.0,1.0,7.0,income data,income,2.222897467043319,-0.06165644918091304,0.01333686865847145,0.05058521560725213,
0,21.0,100.0,1.0,7.0,income data,income,0.8488997580318087,-0.6340003007183482,-0.03534753137364212,0.07229088865844126,
1,21.0,200.0,1.0,7.0,income data,income,1.1661033962291416,-0.369897475747809,-0.026024320467591715,0.07139981634282719,
2,21.0,300.0,1.0,7.0,income data,income,1.4710276830259024,-0.3323010967618085,-0.009247656607233494,0.07080981294495071,
3,21.0,400.0,1.0,7.0,income data,income,1.8408826574152775,-0.27338565203721704,-0.013576198127513192,0.06070192661983965,
